train_step,train guidance replacements,train safety replacements
0,0,0
1,0,0
2,0,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,2,0
9,2,0
10,2,0
11,3,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,0
18,4,0
19,4,0
20,4,0
21,4,0
22,4,0
23,4,0
24,4,0
25,4,0
26,4,0
27,4,0
28,5,0
29,6,0
30,8,0
31,8,0
32,9,0
33,10,0
34,12,0
35,12,0
36,12,0
37,12,0
38,13,0
39,13,0
40,13,0
41,13,0
42,13,0
43,13,0
44,13,0
45,13,0
46,14,0
47,14,0
48,15,0
49,16,0
